episode,mean_return,std_return,min_return,max_return,returns
500,-63.548830992697425,19.363571444933523,-87.40133709041402,-39.972886390052736,"[-87.40133709041402, -63.27226949762553, -39.972886390052736]"
1000,106.77399848906013,138.06522535621087,-0.3086027754470706,301.71189405489713,"[301.71189405489713, -0.3086027754470706, 18.918704187730327]"
1500,191.51206997192153,165.69012488696646,-42.80889280512929,308.9742631679401,"[308.37083955295384, 308.9742631679401, -42.80889280512929]"
2000,303.191940453796,1.6138581280421227,300.9118446088396,304.4196199318394,"[300.9118446088396, 304.2443568207091, 304.4196199318394]"
2500,308.221527886965,1.3480067995003426,306.6577137019485,309.9476528533269,"[308.0592171056196, 309.9476528533269, 306.6577137019485]"
3000,252.67061439466974,87.03734952155794,129.5815596319735,314.46766073815525,"[313.96262281388044, 314.46766073815525, 129.5815596319735]"
3500,262.94649570140365,66.9462223116333,168.28191907517612,311.5666007059626,"[308.99096732307225, 311.5666007059626, 168.28191907517612]"
4000,307.7822592370212,1.5898337454360147,306.53932637069374,310.0262839663774,"[306.7811673739925, 306.53932637069374, 310.0262839663774]"
4500,313.13644961283234,2.4073236205960598,309.8841413962655,315.6341993669048,"[309.8841413962655, 313.8910080753267, 315.6341993669048]"
5000,215.8557762913406,133.2520901083779,27.41157424543053,310.95327084697783,"[27.41157424543053, 309.2024837816134, 310.95327084697783]"
5500,312.4170789188938,1.2432286086336195,310.8875408320455,313.9327214474324,"[313.9327214474324, 312.43097447720356, 310.8875408320455]"
6000,230.19755536162606,115.34050482387812,67.08165156887844,311.97805376304314,"[311.53296075295657, 311.97805376304314, 67.08165156887844]"
6500,313.7544110790671,0.9900650165081067,312.3542518878821,314.45745460363105,"[314.45745460363105, 312.3542518878821, 314.45152674568817]"
7000,202.22551253616498,154.72790985361925,-16.59107505925931,312.3853888809681,"[312.3853888809681, -16.59107505925931, 310.8822237867862]"
7500,220.7765277841439,129.86610522779443,37.12146117351949,313.5633898861706,"[37.12146117351949, 311.64473229274154, 313.5633898861706]"
8000,309.6828085302841,1.831502487439347,307.5768691324629,312.0416750404984,"[312.0416750404984, 307.5768691324629, 309.429881417891]"
