episode,return,length,mean_return_last_10
1,-13.475514082238078,59,-13.475514082238078
2,-8.873189646750689,101,-11.174351864494383
3,-17.731964856386185,62,-13.36022286179165
4,-25.15705086570233,86,-16.30942986276932
5,-6.821804299484938,69,-14.411904750112445
6,-20.66039280127734,88,-15.453319425306594
7,-2.3379759760573506,71,-13.5796989325567
8,-29.1402834597975,120,-15.524771998461802
9,-10.350590634159744,71,-14.949862957983795
10,-7.507781948894262,122,-14.205654857074842
11,-91.53232657012995,1600,-22.01133610586403
12,-17.60982228629291,62,-22.884999369818253
13,-4.768744453089312,90,-21.588677329488565
14,-8.27103098668158,86,-19.90007534158649
15,-6.965048622339964,75,-19.914399773871992
16,-84.66467344685225,1600,-26.314827838429483
17,-8.966506140306592,82,-26.977680854854405
18,-87.63987765123602,1600,-32.827640273998256
19,-11.002030274597928,98,-32.892784238042076
20,-97.96995024953503,1600,-41.93900106810615
21,-82.71780512784608,1600,-41.05754892387777
22,-22.920569129288197,82,-41.58862360817729
23,-9.189422180992551,81,-42.03069138096762
24,-78.55523368646391,1600,-49.05911165094585
25,-5.027824770659208,61,-48.86538926577778
26,-4.338334430009127,72,-40.832755364093465
27,-6.118681632913649,51,-40.54797291335417
28,-7.338458507554606,81,-32.51783099898603
29,-80.79744527366711,1600,-39.49737249889294
30,-82.9722227944294,1600,-37.99759975338238
31,-89.03388990467647,1600,-38.62920823106542
32,-83.35097242332995,1600,-44.6722485604696
33,-21.88937998469919,88,-45.94224434084026
34,-18.587162311188877,78,-39.94543720331276
35,-23.05293881520629,59,-41.74794860776747
36,-5.166886795312166,71,-41.83080384429777
37,-22.06922980211675,88,-43.42585866121808
38,-77.89967139111832,1600,-50.48197994957445
39,-6.207865240983665,101,-43.02302194630611
40,-85.59569776360877,1600,-43.28536944322404
41,-10.409466753248125,72,-35.42292712808121
42,-19.67430874053389,65,-29.055260759801605
43,-23.292631896823877,87,-29.195585951014074
44,-78.58168208925053,1600,-35.19503792882024
45,-9.61827015178278,108,-33.85157106247789
46,-7.386767853982747,64,-34.07355916834494
47,-5.90906897909008,96,-32.45754308604228
48,-6.980319705791771,70,-25.365607917509625
