episode,mean_return,std_return,min_return,max_return,returns
100,-95.9092145735398,0.22736173311294794,-96.34962175786495,-95.70500007178634,"[-95.86986371874809, -95.70500007178634, -95.84147667884827, -95.78011064045131, -96.34962175786495]"
200,299.3003545084968,1.1515541109717553,297.2593554565683,300.8344831657596,"[299.36042693816125, 299.4615699807182, 300.8344831657596, 299.58593700127676, 297.2593554565683]"
300,317.9885039446875,0.8811445219719315,316.84940616437234,319.21833828417584,"[317.96495020994917, 319.21833828417584, 318.686086432077, 317.2237386328634, 316.84940616437234]"
400,321.54484205376355,0.5794385271438837,320.79722185386345,322.0310249719769,"[320.87473633652553, 321.99468576721847, 322.0265413392335, 322.0310249719769, 320.79722185386345]"
500,322.45038464870305,0.23445165671750062,322.16730716079473,322.82358109019697,"[322.82358109019697, 322.16730716079473, 322.3157219681889, 322.33792837988585, 322.60738464444876]"
600,274.0898688152432,98.2849416582704,77.52119405008852,323.83834547922015,"[323.83834547922015, 323.169087857008, 77.52119405008852, 322.7670722398907, 323.15364445000887]"
700,323.3338577184826,0.9402584435621383,322.1007710881531,324.67026285547763,"[322.1007710881531, 322.45922437962145, 324.67026285547763, 323.8799857124686, 323.55904455669224]"
800,325.2095770901069,0.4183798265633491,324.65098425373435,325.8333250870928,"[324.9255531206727, 324.65098425373435, 325.8333250870928, 325.50542431976646, 325.1325986692682]"
900,298.7607407787815,48.88212929325439,200.99781749024987,323.52444633003324,"[322.75162718631327, 323.34118940867484, 323.52444633003324, 200.99781749024987, 323.18862347863615]"
1000,301.0046212542802,46.115091630571285,208.77583148982376,324.49298807559535,"[324.1391488118097, 323.7994800908491, 324.49298807559535, 323.8156578033231, 208.77583148982376]"
