episode,return,length,mean_return_last_10
1,-13.307610784283604,59,-13.307610784283604
2,-18.572501659581903,65,-15.940056221932753
3,-82.24346353649446,1600,-38.04119199345332
4,-10.850626015059245,113,-31.243550498854802
5,-21.470969916467432,90,-29.289034382377327
6,-79.51147456749673,1600,-37.65944107989723
7,-11.351067128373833,54,-33.901101943965315
8,-4.258919340589786,115,-30.195829118543376
9,-1.060285270395687,91,-26.95854646874919
10,-8.05368721805884,59,-25.068060543680154
11,-15.59686729567591,48,-25.29698619481938
12,-72.38248599461618,1600,-30.67798462832281
13,-3.47945189529564,85,-22.801583464202928
14,-10.167074325368159,76,-22.733228295233822
15,-16.805888239876367,50,-22.26672012757471
16,-7.1665142009896945,71,-15.032224090924009
17,-77.0308429174025,1600,-21.600201669826873
18,-9.805432074544953,48,-22.15485294322239
19,-78.8990447389729,1600,-29.938728890080114
20,-6.238717990060687,71,-29.7572319672803
21,-7.976212367294171,77,-28.99516647444213
22,-90.42873895070743,1600,-30.79979177005125
23,-9.487261056029237,84,-31.40057268612461
24,-78.24282802296092,1600,-38.20814805588388
25,-71.28579634770217,1600,-43.65613886666647
26,-9.357096379795784,57,-43.875197084547075
27,-69.95268034050605,1600,-43.16738082685743
28,-55.0770202640896,1600,-47.69453964581189
29,-6.04592559978366,75,-40.409227731892976
30,-6.753061281109695,57,-40.460662060997876
31,-4.729146605031566,73,-40.135955484771614
32,-3.8281773083272856,63,-31.475899320533596
33,0.7174849836807722,114,-30.455424716562597
34,-2.639047294416813,70,-22.895046643708184
35,-4.675015284302646,92,-16.233968537368234
36,-5.59042764131911,84,-15.857301663520564
37,-1.6458025858737542,70,-9.026613888057335
38,-4.450909003639827,85,-3.964002762012359
39,-4.2773032387963035,79,-3.7871405259136224
40,-9.497251449988404,318,-4.061559542801494
41,-3.3563611378218043,76,-3.9242809960805176
42,-3.4258136875089265,73,-3.884044633998682
43,-2.6518230938166374,66,-4.220975441748423
44,-3.9224891287274666,61,-4.349319625179488
45,-4.09846606062027,65,-4.291664702811249
46,-5.19694546552608,112,-4.2523164852319475
47,-4.551230186650644,72,-4.542859245309637
48,-2.1800892627332358,68,-4.315777271218977
49,-2.219721960076131,72,-4.110019143346959
50,-5.31474435603246,64,-3.6917684339513657
51,-4.82159683512058,74,-3.838292003681243
52,-0.7091711295675509,70,-3.566627747887105
53,-4.341305708754808,72,-3.7355760093809223
54,-2.872660331148656,65,-3.630593129623042
55,-4.282263639718295,66,-3.6489728875328438
56,-2.2171013494108807,96,-3.350988475921324
57,-1.0998702328093377,79,-3.005852480537194
58,-9.691540532670915,53,-3.7569976075309612
59,-5.394175414789935,62,-4.074442953002341
60,-5.698946572014828,74,-4.112863174600578
61,-2.3104675189859707,84,-3.861750242987118
62,-4.55722068205243,75,-4.2465551982356065
63,-4.019778017346399,73,-4.214402429094764
64,-5.165806046830406,84,-4.443717000662939
65,-4.277895007566549,75,-4.443280137447765
66,-4.870351973949,78,-4.708605199901577
67,-4.556327896257863,79,-5.054250966246429
68,-3.499112084722146,65,-4.435008121451553
69,-4.772140962544947,64,-4.372804676227053
70,-4.443012007991781,74,-4.24721121982475
71,-3.736643862277269,70,-4.389828854153879
72,-4.676180900046602,70,-4.401724875953296
73,-2.6844199084909626,71,-4.268189065067753
74,-2.571789684894444,75,-4.008787428874156
75,-3.607470043043722,70,-3.941744932421874
76,-5.287060182901332,58,-3.9834157533171064
77,-3.902528487453238,74,-3.918035812436645
78,-4.085493143405764,65,-3.976673918305006
79,-4.819329434251414,64,-3.981392765475653
80,-6.064736296832562,56,-4.143565194359732
81,-3.800917960258669,67,-4.149992604157871
82,-6.151516721467488,56,-4.29752618629996
83,-6.976593382576247,54,-4.726743533708488
84,-7.939693883346482,60,-5.263533953553692
85,-4.72349245318699,69,-5.375136194568019
86,-4.691909553408623,67,-5.315621131618748
87,-3.5309215143695467,69,-5.278460434310378
88,-6.980641645928845,61,-5.567975284562687
89,-5.154392153462394,75,-5.601481556483785
90,-8.967185438508169,65,-5.891726470651346
91,-5.0339119715243585,66,-6.015025871777914
92,-6.715331186093391,62,-6.071407318240506
93,-5.720575924236327,64,-5.945805572406513
94,-5.097616926785559,67,-5.66159787675042
95,-6.352632467406803,70,-5.8245118781724035
96,-5.132157153384761,72,-5.868536638170015
97,-2.6773752605635663,68,-5.783182012789417
98,-4.163574222818716,77,-5.501475270478404
99,-2.507618298563173,71,-5.236797884988483
100,-2.5376374073326584,71,-4.593843081870931
101,-4.106105833870824,66,-4.5010624681055775
102,-1.7658955244976098,63,-4.006118901946
103,-2.651972681609914,64,-3.699258577683358
104,-2.423248557616024,87,-3.431821740766405
105,-0.047361814230684196,100,-2.8012946754487933
106,-3.4316280849114973,92,-2.6312417686014666
107,-0.8650873874325775,75,-2.450012981288368
108,-1.3167702597356397,81,-2.1653325849800606
109,-2.499121210481973,92,-2.1644828761719404
110,-40.005322528686364,130,-5.911251388307311
111,-29.688798505496237,82,-8.469520655469854
112,-56.36389722140613,1255,-13.929320825160705
113,-3.174650398464874,90,-13.9815885968462
114,-4.244254360983177,102,-14.163689177182913
115,-3.203877377817407,114,-14.479340733541587
116,-2.5304757600231094,91,-14.38922550105275
117,-38.3254192940276,1073,-18.135258691712252
118,1.3998600282333786,93,-17.863595662915348
119,4.956656159996054,112,-17.118017925867548
120,-0.8177820476889606,75,-13.199263877767805
121,-0.7014295670809245,79,-10.300526983926275
122,2.333996838843447,93,-4.430737577901317
123,0.6875840066350074,82,-4.044514137391329
124,0.9093253163434554,86,-3.5291561696586653
125,1.3357109903078523,80,-3.0751973328461397
126,-1.213262709705158,81,-2.9434760278143446
127,-1.4469412743300198,93,0.744371774155413
128,0.1289031011448234,82,0.6172760814465577
129,-0.6730399433523404,77,0.05430647111171823
130,-0.4132882959023112,85,0.09475584629038317
131,-28.16722220014183,881,-2.651823417015707
132,-4.59042814105749,93,-3.3442659150058005
133,1.6188357155089053,103,-3.2511407441184113
134,1.3183996744314168,161,-3.2102333083096157
135,0.9318298713630071,297,-3.2506214202040993
136,1.6965758658014263,187,-2.959637562653441
137,1.2579191794176587,125,-2.6891515172786735
138,3.6553802572668133,171,-2.336503801666475
139,-2.74757556946017,112,-2.5439573642772575
140,7.3384921614453145,183,-1.7687793185424951
141,-0.3180981304589645,142,1.0161330884257918
142,2.90868347060867,194,1.766044249592408
143,-0.24692183876021012,134,1.5794684941654962
144,6.6790765703935175,176,2.1155361837617064
145,7.347915601348211,198,2.757144756760227
146,6.516499999989751,195,3.2391371701790588
147,-8.11208181781112,118,2.302137070456181
148,-13.436362743937643,253,0.5929627703357359
149,-2.4688685596547817,542,0.6208334713162744
150,120.0942148317796,1600,11.896405738349703
151,-15.44621365021012,57,10.383594186374586
152,-17.31748602328589,65,8.36097723698513
153,75.0687848483434,691,15.892547905695489
154,-12.567249915271528,115,13.967915257128988
155,91.4998776773072,825,22.383111464724884
156,73.87800257296763,853,29.119261722022667
157,31.185358987720683,323,33.04900580257585
158,27.255890698903258,223,37.11823114685994
159,10.214461477153238,154,38.38656415054074
160,13.398421595364354,245,27.71698482689922
161,18.417912547263544,212,31.103397446646586
162,17.5247550715603,188,34.587621556131204
163,132.69048239438507,1001,40.34979131073537
164,25.16101958292888,265,44.12261826055541
165,35.56495478547413,296,38.52912597137211
166,81.63108782451594,466,39.30443449652694
167,42.54164006110282,263,40.44006260386515
168,11.977246299749233,123,38.91219816394975
169,10.403654658365992,144,38.93111748207103
170,-24.649866662202406,78,35.12628865631435
171,12.351329546980121,425,34.519630356286015
172,-16.31798043565565,226,31.135356805564413
173,16.392238121043192,210,19.505532378230225
174,15.907393306783632,166,18.580169750615703
175,40.32029466271703,387,19.055703738339993
176,37.37333155160889,338,14.629928111049287
177,95.32500315064323,659,19.908264420003327
178,52.21843181304403,440,23.932382971332807
179,30.861887215204746,278,25.978206227016678
180,40.261819509794144,318,32.46937484421633
181,139.06889040125472,1038,45.14113092964379
182,293.4729898815632,1600,76.12022796136569
183,309.61679210375047,1565,105.4426833596364
184,284.28762311434565,1210,132.2807063403926
185,34.59960711459046,187,131.70863758557996
186,15.725188823635694,136,129.54382331278265
187,45.58347155899508,224,124.56967015361784
188,319.9149129316118,1378,151.3393182654746
189,307.3402792024413,1290,178.98715746419825
190,283.9428753912771,1148,203.35526305234652
191,323.2116942600156,1270,221.76954343822263
192,242.98923956389214,980,216.72116840645555
193,52.251415469578774,268,190.98463074303837
194,326.4668156473523,1249,195.20254999633897
195,233.38320275328246,881,215.08090956020823
196,329.149495742041,1219,246.42334025204872
197,329.92927465722516,1146,274.85792056187177
198,334.19264187536805,1112,276.2856934562474
199,73.13116397158485,332,252.8647819331618
200,334.85613464445623,1116,257.95610785847964
201,339.03678009284454,1058,259.5386164417626
202,333.72902698127785,1065,268.6125951835011
203,338.76819156894413,1056,297.26427279343767
204,286.04457570680535,945,293.22204879938295
205,83.26478654192762,308,278.2102071782475
206,337.66861766102284,1060,279.0621193701457
207,339.27652090632273,1059,279.99684399505543
208,340.8870579471193,1024,280.6662856022305
209,343.1433269637086,1015,307.6675019014429
210,343.0484246179387,1012,308.48673089879117
211,343.9328031220024,1009,308.97633320170695
212,343.6454307791497,1023,309.96797358149416
213,340.8631243291259,1057,310.1774668575123
214,342.8634502830632,1040,315.8593543151381
215,343.6555594318443,1053,341.89843160412977
216,341.62265428153273,1033,342.29383526618074
217,342.655045427071,1049,342.6316877182556
218,344.37121200857,994,342.98010312440067
219,344.26892214527095,1021,343.09266264255695
220,344.1437049769158,1005,343.20219067845454
221,345.6768704343717,1005,343.3765974096915
222,348.0536057650061,965,343.81741490827716
223,80.30080756936923,285,317.7611832323015
224,346.3916396684457,982,318.11400217083974
225,347.6734015386481,941,318.5157863815202
226,122.11170906518595,387,296.5646918598855
227,350.60974354702694,929,297.36016167188103
228,348.1106871246548,950,297.7341091834895
229,350.31946644554154,926,298.3391636135166
230,351.03248951031867,923,299.02804206685687
231,347.2868122957861,984,299.18903625299833
232,8.396416368213252,106,265.223317313319
233,350.6855520067043,930,292.2617917570525
234,351.16689600510534,935,292.7393173907185
235,123.73262485588901,367,270.34523972244256
